Column1,id,cmt,giá,dịch_vụ,an_toàn,chất_lượng,ship,other,chính_hãng
154,17806,bỉm oke như mùi hơi nồng 😂,0,0,-1,1,0,0,0
156,17804,giao đúng hàng đóng_gói ổn .,0,0,0,0,1,0,0
158,17802,"giao hàng lắm . mặc_dù shop hà_nội thành_phố hcm. date đúng mô_tả , giá tốt",1,0,1,0,1,0,0
162,17798,"giao hàng , đóng_gói cẩn_thận , sản_phẩm_chất_lượng , hạn , mẫu_mã đẹp",0,0,1,1,1,0,0
167,17793,mua ủng_hộ shop tiếp,0,0,0,0,0,1,0
168,17792,"giao hàng , hạn",0,0,1,0,1,0,0
171,17789,"shop giao hàng , sữa mẫu hạn , mua shop",0,0,1,0,1,0,0
172,17788,"chất_lượng sản_phẩm tuyệt_vời , đóng_gói sản_phẩm , giao hàng . shop ủng_hộ",0,0,0,1,1,0,0
173,17787,shop gói hàng cẩn_thận lắm nha . giao hạn 202 . giá mềm thanks shop,1,0,1,1,1,0,0
175,17785,mua 3 shop . oki .,0,0,0,1,0,1,0
176,17784,giao hàng,0,0,0,0,-1,0,0
177,17783,mua hàng giao gói kỹ giá cạnh_tranh thông_báo giảm_giá liên_tục shop uy_tín,1,0,0,0,1,0,1
178,17782,chất_lượng sản_phẩm tuyệt_vời . chất_lượng sản_phẩm tuyệt_vời .,0,0,0,1,0,0,0
181,17779,sản_phẩm đúng như tả . đóng_gói . giá_cả hợp_lý . ủng_hộ shop .,1,0,0,0,1,0,1
183,17777,chất_lượng tuyệt_vời . mua shop hộp méo mua cải_thiện . giao hàng,0,0,0,1,1,0,0
184,17776,date chất_lượng sản_phẩm tuyệt_vời . đóng_gói !,0,0,0,1,1,0,0
185,17775,đóng_gói hàng sẻ mất tgian ngày_trước sữa,0,0,0,0,1,0,0
187,17773,ngon bổ rẻ . mua sản_phẩm shop,1,0,0,1,0,0,0
188,17772,"hộp đều móp không ảnh_hưởng sữa , hôm_qua hộp đầu_ra bé uống , mùi sữa thơm , ngậy",0,0,0,1,-1,0,0
189,17771,"to như bao gạo , hàng giật : ) thử angel night , thử gold đóng : ) đóng thử 1 thấm hút thua night , đóng xong nổi 1 mụn khu_vực hậu_môn hơi ẩm mông : ( mặc_dù đóng 2 tiếng 20p",0,0,-1,-1,0,0,0
190,17770,"shop đóng_gói cẩn_thận , giao hàng . oke ủng_hộ dài_dài",0,0,0,1,1,0,0
191,17769,"sữa đóng bọc không móp méo , hàng giao . ủng_hộ shop",0,0,0,0,1,0,0
194,17766,sữa thơm ngon béo ngậy trộm_vía bé hợp lắm mẹ biếng ăn thử nha,0,0,0,1,0,0,0
198,17762,mua bé bón ít bệnh vặt hấp_thu tốt !,0,0,1,0,0,0,0
200,17760,k diễn_tả,0,0,0,0,0,1,0
201,17759,"sữa thơm , sánh . bé vị . đóng_gói cẩn_thận . giao hàng không lắm .",0,0,0,1,1,0,0
202,17758,"sản_phẩm tốt , chất_lượng , giá rẻ , shop cực nhiệt_tình , tặng quà yêu , mua tiếp",1,1,0,1,0,0,0
203,17757,"sản_phẩm ok , shop đóng_gói kĩ , giao hàng shop",0,0,0,1,1,0,0
204,17756,sữa oke,0,0,0,1,0,0,0
205,17755,"hàng đúng , rẻ ok . thử bé ủng_hộ shop tiếp .",1,0,0,0,0,0,1
208,17752,tin_tưởng mua sản_phẩm shopp 👍,0,0,0,0,0,1,0
209,17751,giao hàng đóng_gói sản_phẩm giá_thành tạm,1,0,0,0,1,0,0
210,17750,"hàng như mô_tả , tem nhập hãng",0,0,0,0,0,0,1
211,17749,"giao , hàng chuẩn chưa !",0,0,0,0,1,0,1
212,17748,hộp sữa y chang hộp mua tem nhãn phụ,0,0,0,0,0,0,1
213,17747,sản_phẩm tốt,0,0,0,1,0,0,0
214,17746,"chất_lượng sản_phẩm tốt , đóng_gói đẹp kĩ , phục_vụ nhiệt_tình , giao hàng lỗi giao hàng , mong không xảy . !",0,1,0,1,1,0,0
215,17745,đặt_hàng chiều đc . ủng_hộ tiếp chất_lượng đảm_bảo nha shop 🥰,0,0,0,0,1,0,0
216,17744,giao hàng gói cẩn_thận ok 👍,0,0,0,0,1,0,0
217,17743,sản_phẩm tốt giao hàng đóng_gói cẩn_thận,0,0,0,1,1,0,0
218,17742,"sữa hãng , mua shop . shop flash sale",1,0,0,0,0,0,1
221,17739,giao hàng chiều_hôm_qua hôm hàng .,0,0,0,0,1,0,0
225,17735,hàng . shop . đầy_đủ .,0,0,0,0,1,0,0
227,17733,"hàng siêu , đính kèm quà xinh yêu . thanks shop",0,1,0,0,1,0,0
229,17731,"sữa hạn , sữa thơm . đúng !",0,0,1,1,0,0,0
230,17730,giao hàng . 👍,0,0,0,0,1,0,0
231,17729,giao hàng siêu . sản_phẩm bọc kĩ_càng không móp méo,0,0,0,0,1,0,0
233,17727,"giao hàng , ủng_hộ shop , đóng_gói sản_phẩm kỹ , cẩn_thận .",0,0,0,0,1,0,0
236,17724,"mua shop , bé uống , pha 140ml mua shop uống mấy bữa bé uống tầm_nửa . k hàng giả không",0,0,0,-1,0,0,0
237,17723,"sản_phẩm oke check mã shop trả_lời nhắn , thân_thiện tốt shop mua tiếp 😚",0,1,0,0,0,0,1
238,17722,sao_nan nga nắp màu xanh . mua nắp nâu .,0,0,0,0,0,0,-1
240,17720,"giao hàng siêu , đóng_gói cực cẩn_thận . mua ưng sản_phẩm .",0,0,0,1,1,0,0
241,17719,"shop giao đủ hàng , sản_phẩm ok , ủng_hộ shop",0,0,0,1,1,0,0
244,17716,"đóng_gói sản_phẩm , giao hàng . giá tốt",1,0,0,0,1,0,0
245,17715,"hàng , chưa bé thử , không hợp_tác không , bé htac ủng_hộ shop .",0,0,0,0,0,1,0
247,17713,giao hàng hàng chuẩn chất_lượng tốt giá rẻ mua,1,0,0,1,1,0,1
248,17712,"giao hàng , shop phục_vụ tốt . mua shop , hài_lòng",0,1,0,0,1,0,0
249,17711,"giao hàng siêu , xong tiếp . shop đóng_gói cẩn_thận",0,0,0,0,1,0,0
251,17709,"shop , giao hàng đóng_gói cẩn thân .",0,0,0,0,1,0,0
252,17708,"mặc toàn trào , hàng không chuẩn rôi",0,0,0,-1,0,0,-1
254,17706,đúng hàng . giao đúng . đóng_gói kĩ không bóp_méo .,0,0,0,0,1,0,0
255,17705,chất_lượng sản_phẩm tốt . shop đóng_gói cẩn_thận . giao hàng,0,0,0,1,1,0,0
256,17704,"sản_phẩm_chất_lượng , shop làm_việc hiệu_quả , giao hàng , mua shop 🥰",0,1,0,1,1,0,0
257,17703,"bé ăn loại thơm , ngon giá hợp_lý 🤣",1,0,0,1,0,0,0
258,17702,"hộp đóng , không móp méo . date_dài , thử ok , ủng_hộ shop",0,0,1,0,1,0,0
260,17700,đầu mua shop . mua 3 hộp móp 1 hộp không . shop nhiệt_tình . 5 .,0,1,0,0,-1,0,0
262,17698,giao hàng siêu chất_lượng đảm_bảo đóng_gói sản_phẩm hài_lòng,0,0,0,1,1,0,0
263,17697,sữa thơm lắm y hàng mua shop mẹ bé hàng nhập_khẩu oke mẹ,0,0,0,1,0,0,0
264,17696,"giao hàng , đóng_gói hàng hộp sữa móp shop dán băng_keo hơi . date hình_như_không đều , mua shop giao hạn .",0,1,0,0,1,0,0
266,17694,"đóng_gói sp đẹp , lon hơi móp méo tí giao hàng 💪",0,0,0,0,1,0,0
267,17693,hộp sữa hơi méo tí đít hộp . giao hàng . giá rẻ cửa_hàng mẹ bé .,1,0,0,0,1,0,0
268,17692,tv 3 hôm bé quen sữa . ủng_hộ shop .,0,0,0,0,0,1,0
269,17691,mua sữa giá rẻ trông sữa hãng vọng hàng chất_lượng,1,0,0,0,0,0,1
270,17690,"shop giao hàng , đóng_gói cẩn_thận , không móp méo . mua hàng 2 , hài_lòng . ủng_hộ shop lâu_dài 😭",0,0,0,0,1,0,0
271,17689,giao hàng gói cẩn_thận hi_vọng sữa hãng ủng_hộ,0,0,0,0,1,0,0
273,17687,giao hàng . sữa check mã_vạch . giao nowship sữa túi không đơn bọc gói,0,0,0,0,1,0,1
275,17685,"giao hàng nhanh_chóng , sản_phẩm đóng_gói đẹp , cẩn_thận . cám_ơn shop !",0,0,0,0,1,0,0
276,17684,"sản_phẩm tốt , giá rẻ , giao hàng , mua .",1,0,0,1,1,0,0
278,17682,sữa nga ngon cực mẹ . sản_phẩm tốt hạn uống ngon . mua shop . tks,0,0,1,1,0,0,0
280,17680,"giao , hạn",0,0,1,0,1,0,0
281,17679,k mua shop chẳng tặng,0,0,0,0,0,1,0
282,17678,giao hàng check mã sản_phẩm tội hộp sữa không muôi múc lộn đáy,0,0,0,0,1,0,1
286,17674,mua shop yên_tâm chất_lượng sản_phẩm đóng_gói đảm_bảo . hàng uy_tín chất_lượng . mng lo săn sale shop lo,0,0,0,1,1,0,1
287,17673,"shop giao đầy_đủ , chăm_sóc kh tốt , gói hàng cẩn_thận chu_đáo . ủng_hộ . hi_vọng shop nhập liên_tục lô hạn . giá rẻ . thank_shop",1,1,0,0,1,0,0
288,17672,chất_lượng sản_phẩm chưa . giao hàng . đóng_gói sản_phẩm,0,0,0,0,1,0,0
289,17671,"hàng đủ tem , giá hợp_lý . thử hợp ủng_hộ",1,0,0,0,0,0,1
290,17670,"giao hàng , gói cẩn_thận bé hợp_tác mua bé uống chưa bé kg",0,0,0,0,1,0,0
291,17669,"giao hàng nhanh_chóng , hạn , gói hàng chưa cẩn_thận lắm",0,0,1,0,-1,0,0
293,17667,"giao hàng , sp hạn giá mềm shop , chất_lượng sữa tốt bé 10 biếng ăn .",1,0,1,1,1,0,0
294,17666,shop gói hàng cẩn_thận . sữa thơm ngon béo_tốt đậm_đà cưỡng luv,0,0,0,1,1,0,0
295,17665,đóng_gói sản_phẩm đẹp . giao hàng,0,0,0,0,1,0,0
297,17663,canh đi sales mua giá hời . hàng ổn . thực không rẻ .,1,0,0,1,0,0,0
298,17662,đóng_gói sản_phẩm cực . giao hàng . ủng_hộ shop,0,0,0,0,1,0,0
299,17661,"shop giao hàng , đóng_gói cẩn_thận , chất_lượng chưa chưa",0,0,0,0,1,0,0
300,17660,"hàng . chất_lượng tốt , đóng_gói sản_phẩm cẩn_thận . giao hàng .",0,0,0,1,1,0,0
302,17658,sữa 7 / 2021 hạn . mong chất_lượng không . giá_như oke .,1,0,-1,0,0,0,0
303,17657,shop đóng_gói cẩn_thận . hàng đúng chuẩn . ủng_hộ shop dài_dài .,0,0,0,0,1,0,1
305,17655,shop làm_việc tâm giải_quyết vướng_mắc khách_hàng,0,1,0,0,0,0,0
306,17654,mua shop chả shop khuyến_mại . sad sad . giao .,0,-1,0,0,1,0,0
307,17653,"sữa uống tốt , shop dễ_thương , giao hàng , gói hàng kĩ",0,1,0,1,1,0,0
308,17652,"sản_phẩm_giá tốt , đóng_gói sản_phẩm đẹp , giao hàng 3 - 4 hôm , shop phục_vụ tốt , trả_lời , tư_vấn nhiệt_tình",0,1,0,1,1,0,0
309,17651,"sản_phẩm tốt , đóng_gói . shipper jt tốt ghtk",0,0,0,1,1,0,0
310,17650,sản_phẩm tốt,0,0,0,1,0,0,0
313,17647,giao hàng . đóng_gói cẩn_thận nhìu lớp . quà tặng đẹp sịn sò . chất_lượng sữa oke . bé uống sữa,0,1,0,1,1,0,0
314,17646,giá_cả hợp_lý . chất_lượng sản_phẩm tốt . ủng_hộ shop tiếp,1,0,0,1,1,0,0
315,17645,"2 mua hàng shop , ổn . giá deal rẻ chỗ , hạn rõ_ràng 2 / 2020 trừ 2 / 2023 . hàng không móp bung nắp",1,0,1,0,0,0,0
316,17644,"nhân_viên giao hàng nhiệt_tình , hàng , mã hoàn xu rẻ mua cửa_hàng .",1,1,0,0,1,0,0
317,17643,mua ưng lắm,0,0,0,1,0,0,0
320,17640,"sản_phẩm ok , giao hàng . áp mã giảm_giá 💕",1,0,0,1,1,0,0
322,17638,đóng_gói .,0,0,0,0,1,0,0
325,17635,sản_phẩm_chất_lượng tuyệt_vời giao hàng nhanh_chóng . shop,0,0,0,1,1,0,0
326,17634,"sữa thơm , chất_lượng tốt . mua hàng shop . giao hàng hơi .",0,0,0,1,-1,0,0
327,17633,. hơi nhạt,0,0,0,1,0,0,0
330,17630,"gói xốp hộp móp , chủ_yếu chất_lượng móp không quan ơn shop",0,0,0,1,-1,0,0
331,17629,"hàng chuẩn , ủng ỉn chế dài_dài !",0,0,0,0,0,0,1
332,17628,sữa hạn không nguyên_vẹn sữa bục lắp đậy hở không trách_nhiệm shop ship hàng ?,0,0,0,0,-1,0,0
333,17627,shop đóng_gói sản_phẩm cẩn_thận . sữa hạn . giao hàng . shop !,0,0,1,1,1,0,0
334,17626,"hàng . mã qr như mua rẻ , ủng_hộ shop tiếp .",1,0,0,0,1,0,1
336,17624,bỉm angel mềm_mỏng . mua rùi . shop giá tốt hàng,1,0,0,1,1,0,0
337,17623,giao hàng .,0,0,0,0,1,0,0
338,17622,mua hàng . chuẩn,0,0,0,1,0,0,0
339,17621,"sản_phẩm như mô_tả , giao hàng , chất_lượng tốt , tks shop",0,0,0,1,1,0,1
340,17620,"hàng giao , chất_lượng tốt , đóng_gói sản_phẩm cẩn_thận . shop chăm_sóc nhiệt_tình . hài_lòng .",0,1,0,1,1,0,0
343,17617,"giao hàng , ủng_hộ shop tiếp , đóng_gói cẩn_thận",0,0,0,0,1,0,0
344,17616,"giao hàng , đóng_gói gọn kỹ . hàng hạn 2022 .",0,0,1,0,1,0,0
347,17613,"giao hàng như một gió 🤩 shop đóng hàng đẹp , 😍",0,0,0,0,1,0,0
348,17612,shop giao hàng . gói hàng cẩn_thận . hàng chuẩn ok . giá rẻ . dịch săn voucher mua tích_trữ dần,1,0,0,1,1,0,1
350,17610,"đóng_gói cẩn_thận , giao hàng , chất_lượng tuyệt_vời .",0,0,0,1,1,0,0
351,17609,"mua shop giá siêu rẻ gói hàng cẩn_thận , giao . hạn t12",1,0,1,0,1,0,0
352,17608,hàng chất gói ok . . ủng_hộ .,0,0,1,1,1,0,0
353,17607,mua shop lắm xu lắm,0,0,0,0,0,1,0
356,17604,hàng cám_ơn shop 💓 gói hàng kỹ đẹp ❤ 🍭,0,0,0,0,1,0,0
357,17603,"sữa tem mác đầy_đủ , đóng_gói kĩ không móp mép , giá hợp_lý ưng_ý",1,0,0,0,1,0,1
358,17602,hàng giao . sữa ok. mua mẹ . bé ok lắm .,0,0,0,1,1,0,0
359,17601,sản_phẩm đúng mong_muốn shop đóng_gói cẩn_thận giao hàng,0,0,0,0,1,0,1
360,17600,ưng gói hàng cẩn_thận . sữa hạn 3.5.2 hộp không méo móp . ủng_hộ shop,0,0,1,0,1,0,0
361,17599,"sản_phẩm tốt hãng . shop phục_vụ tốt , đóng hàng gửi hàng",0,1,0,1,1,0,1
363,17303,"giao hàng đóng_gói gọn đủ giá hợp_lý , chất_lượng tốt , hàng chuẩn",1,1,0,1,1,0,1
364,17302,"sữa chuẩn date , bé",0,0,1,0,0,0,0
365,17301,chủ shop tư_vấn nhiệt_tình ! mua shop không,0,1,0,0,0,0,0
366,17300,"giao hàng , bọc gói cẩn_thận , hạn tít_mù_tắp , giá tốt",1,0,1,0,1,0,0
367,17299,"hàng chuẩn nha , bọc cẩn_thận . bé uống lắm",0,1,0,1,1,0,1
368,17298,"hàng , 01 hộp vẻ phập_phồng , hơi lo_sợ 😢",0,0,0,0,-1,1,0
369,17297,ship ủng_hộ shop tiếp,0,0,0,0,1,0,0
371,17295,"sữa bé uống , ăn ngon , cân .",0,0,0,1,0,0,0
373,17293,"chưa chưa chất_lượng shop đóng_gói cẩn_thận , giao hàng",0,1,0,0,1,0,0
375,17291,sản_phẩm chưa chưa sữa tiện bận đi shop đóng_gói ưng_ý giá rẻ shop ủng_hộ,1,1,0,0,1,0,0
376,17290,"mấy đặt_hàng gói hàng cẩn 1 hộp bọc kĩ 1 hộp k , k bọc móp",0,0,0,0,-1,0,0
377,17289,chất_lượng sản_phẩm tốt . ủng_hộ shop . giao hàng hơi chậm .,0,0,0,1,-1,0,0
378,17288,nắp không mua shop ?,0,0,0,0,0,1,0
382,17284,giao hàng . hàng .,0,0,0,0,1,0,0
383,17283,chất_lượng sản_phẩm tuyệt_vời . đóng_gói sản_phẩm đẹp . shop phục_vụ tốt . tiền . giao hàng .,0,1,0,1,1,0,0
